,LocationName,ISO,country,region,world_region,MPI,geo,lat,lon,id,funded_amount,loan_amount,activity,sector,use,country_code,currency,partner_id,posted_time,disbursed_time,funded_time,term_in_months,lender_count,tags,borrower_genders,repayment_interval,date,year,month,day
1750,"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,1101722,700.0,700.0,Retail,Retail,"to buy shirts, trousers, dresses, skirts, undergarments, and plastic cooking utensils to sell.",SV,USD,199.0,2016-06-18 15:01:55+00:00,2016-05-26 07:00:00+00:00,2016-07-21 20:33:37+00:00,17.0,17,"#Repeat Borrower, #Parent, #Single Parent, #Woman Owned Biz",female,monthly,2016-06-18,2016,June,Saturday
2816,"San Vicente, El Salvador",SLV,El Salvador,San Vicente,Latin America and Caribbean,0.02,"(13.6390979, -88.7830612)",13.6390979,-88.7830612,953129,200.0,200.0,Food,Food,"to buy more raw materials like corn, salt, fruit, unrefined whole cane sugar, sugar, etc.",SV,USD,199.0,2015-09-24 16:27:44+00:00,2015-08-31 07:00:00+00:00,2015-09-30 11:07:34+00:00,14.0,7,,female,monthly,2015-09-24,2015,September,Thursday
1626,"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,1045944,900.0,900.0,Food Production/Sales,Food,to purchase corn for the sale of tortillas.,SV,USD,199.0,2016-03-29 16:57:27+00:00,2016-03-22 07:00:00+00:00,2016-04-29 09:41:07+00:00,20.0,36,"#Elderly, #Repeat Borrower, #Woman Owned Biz",female,monthly,2016-03-29,2016,March,Tuesday
2722,"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,1329948,0.0,400.0,Agriculture,Agriculture,to buy pesticides and herbicides for infestations and control of weeds in his crops.,SV,USD,199.0,2017-06-29 18:57:09+00:00,2017-06-24 07:00:00+00:00,,14.0,0,#Parent,male,monthly,2017-06-29,2017,June,Thursday
2228,"San Miguel, El Salvador",SLV,El Salvador,San Miguel,Latin America and Caribbean,0.03,"(13.4792922, -88.1779182)",13.4792922,-88.17791820000002,1215446,300.0,300.0,Agriculture,Agriculture,to purchase supplies for growing corn and sorghum so that with his earnings from the harvest he can continue sending his children to school.,SV,USD,199.0,2017-01-04 19:27:21+00:00,2016-12-14 08:00:00+00:00,2017-01-09 15:33:46+00:00,14.0,9,#Parent,male,monthly,2017-01-04,2017,January,Wednesday
